"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
3985,UGEL Condorcanqui,Perú,Amazonas,"",Condorcanqui,Nieva,"","","",Asuntos de gobierno regional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-4.893368665469423,-77.89002666546942,amazonas-condorcanqui-nieva--asuntos de gobierno regional-ugel condorcanqui,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3986,Colegio de Alto Rendimiento (COAR) Áncash,Perú,Áncash,"",Recuay,Cátac,"","","",Asuntos de gobierno regional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-9.923487916168076,-77.33260441616807,ancash-recuay-catac--asuntos de gobierno regional-colegio de alto rendimiento (coar) ancash,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3987,Estudiantes de la Universidad Nacional Micaela Bastidas (UNAMBA),Perú,Apurímac,"",Abancay,Tamburco,"","","",Otros asuntos,"",Activo,,Inicio,Mesa de diálogo: negociación directa,"",No,No,Solo monitoreo,Gobierno nacional,-13.58686777585962,-72.87643777585961,apurimac-abancay-tamburco--otros asuntos-estudiantes de la universidad nacional micaela bastidas (unamba),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3988,I.E. Juan Espinoza Medrano – UGEL Andahuaylas,Perú,Apurímac,"",Andahuaylas,Andahuaylas,"","","",Otros asuntos,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno local,-13.7643397657548,-73.3400687657548,apurimac-andahuaylas-andahuaylas--otros asuntos-i.e. juan espinoza medrano – ugel andahuaylas,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3989,Federación Universitaria de la UNSCH,Perú,Ayacucho,"",Huamanga,"","","","",Otros asuntos,"",Activo,,"","","",Sí,"","Colaboración, observación activa y supervisión",Gobierno regional,-13.164796946720042,-74.22448734672004,ayacucho-huamanga---otros asuntos-federacion universitaria de la unsch,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3990,Empresa Consettur,Perú,Cusco,"",Urubamba,Machupicchu,"","","",Otros asuntos,"",Activo,,"","","",No,"",Solo monitoreo,Poder judicial,-13.217707387387236,-72.49341238738724,cusco-urubamba-machupicchu--otros asuntos-empresa consettur,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3991,Asfaltado de carretera Huancavelica – Yauli – Pucapampa (tramo I),Perú,Huancavelica,"",Huancavelica,Yauli,"",""," China Railway Tunnel Group Co., Ltd. Sucursal del Perú. ",Asuntos de gobierno regional,"",Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-12.818928539745775,-74.82171853974577,huancavelica-huancavelica-yauli--asuntos de gobierno regional-asfaltado de carretera huancavelica – yauli – pucapampa (tramo i),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3992,Mercado de Paucarbamba,Perú,Huánuco,"",Huánuco,Amarilis,"","","",Asuntos de gobierno regional,"",Activo,,"","","",No,"","Colaboración, observación activa y supervisión",Gobierno regional,-9.953552191357279,-76.18298119135727,huanuco-huanuco-amarilis--asuntos de gobierno regional-mercado de paucarbamba,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3993,Agricultores de Huánuco,Perú,Huánuco,"","","","","","",Asuntos de gobierno regional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-9.921044220730364,-76.24136372073036,huanuco----asuntos de gobierno regional-agricultores de huanuco,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
3994,Río Cunas - Proyecto Yanacocha,Perú,Junín,"","","","","Región Junín, provincias de Concepción y Chupaca.","",Asuntos de gobierno regional,"",Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno regional,-11.158996760019432,-75.99343486001943,junin----asuntos de gobierno regional-rio cunas - proyecto yanacocha,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
