"id","time_validity","large_duration","date_event_start","date_event_end","summary","detected_condition","state","image","data","nro_report","createdAt","updatedAt","event_type_id","detected_condition_red"
105460,,0,"2023-11-30 02:49:17",,"42 km al NE de Nueva Cajamarca, Rioja - San Martin",Sismo,,,"{""numeroReporte"":681,""fechaHoraLocal"":""2023-11-30T02:49:17.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""42 km al NE de Nueva Cajamarca, Rioja - San Martin"",""isIn"":""Continente"",""latitud"":""-5.64"",""longitud"":""-77.06"",""profundidad"":37,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""29/11/2023"",""HoraLocal"":""21:49:17"",""reports"":[{""numeroReporte"":681,""fechaHoraLocal"":""2023-11-30T02:49:17.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""42 km al NE de Nueva Cajamarca, Rioja - San Martin"",""isIn"":""Continente"",""latitud"":""-5.64"",""longitud"":""-77.06"",""profundidad"":37,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""29/11/2023"",""HoraLocal"":""21:49:17""}]}",,"2023-11-30 02:54:28","2023-11-30 02:54:28",21,
105461,,0,"2023-11-30 04:53:01",,"126 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",Sismo,,,"{""numeroReporte"":682,""fechaHoraLocal"":""2023-11-30T04:53:01.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""126 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad"",""isIn"":""Mar"",""latitud"":""-8.34"",""longitud"":""-80.18"",""profundidad"":20,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""29/11/2023"",""HoraLocal"":""23:53:01"",""reports"":[{""numeroReporte"":682,""fechaHoraLocal"":""2023-11-30T04:53:01.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""126 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad"",""isIn"":""Mar"",""latitud"":""-8.34"",""longitud"":""-80.18"",""profundidad"":20,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""29/11/2023"",""HoraLocal"":""23:53:01""}]}",,"2023-11-30 04:58:00","2023-11-30 04:58:00",21,
105464,,0,"2023-11-30 20:28:20",,"7 km al S de Sihuas, Sihuas - Ancash",Sismo,,,"{""numeroReporte"":683,""fechaHoraLocal"":""2023-11-30T20:28:20.000Z"",""magnitud"":""3.7"",""mensaje"":true,""mapaTematico"":false,""referencia"":""7 km al S de Sihuas, Sihuas - Ancash"",""isIn"":""Continente"",""latitud"":""-8.61"",""longitud"":""-77.63"",""profundidad"":13,""intensidades"":""III Sihuas"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""30/11/2023"",""HoraLocal"":""15:28:20"",""reports"":[{""numeroReporte"":683,""fechaHoraLocal"":""2023-11-30T20:28:20.000Z"",""magnitud"":""3.7"",""mensaje"":true,""mapaTematico"":false,""referencia"":""7 km al S de Sihuas, Sihuas - Ancash"",""isIn"":""Continente"",""latitud"":""-8.61"",""longitud"":""-77.63"",""profundidad"":13,""intensidades"":""III Sihuas"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""30/11/2023"",""HoraLocal"":""15:28:20""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-77.58,-8.79],[-77.62,-8.79],[-77.69,-8.76],[-77.74,-8.73],[-77.79,-8.66],[-77.8,-8.62],[-77.8,-8.55],[-77.75,-8.46],[-77.73,-8.44],[-77.55,-8.44],[-77.51,-8.45],[-77.5,-8.47],[-77.48,-8.5],[-77.46,-8.6],[-77.46,-8.69],[-77.49,-8.73],[-77.58,-8.79]]]},""geometry_name"":""the_geom"",""properties"":{""value"":1,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0683""}}}",,"2023-11-30 20:31:49","2023-11-30 20:57:19",21,
105466,,0,"2023-11-30 22:26:57",,"10 km al E de Chilca, Cañete - Lima",Sismo,,,"{""numeroReporte"":684,""fechaHoraLocal"":""2023-11-30T22:26:57.000Z"",""magnitud"":""3.6"",""mensaje"":true,""mapaTematico"":false,""referencia"":""10 km al E de Chilca, Cañete - Lima"",""isIn"":""Continente"",""latitud"":""-12.53"",""longitud"":""-76.65"",""profundidad"":65,""intensidades"":""II-III Chilca"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""30/11/2023"",""HoraLocal"":""17:26:57"",""reports"":[{""numeroReporte"":684,""fechaHoraLocal"":""2023-11-30T22:26:57.000Z"",""magnitud"":""3.6"",""mensaje"":true,""mapaTematico"":false,""referencia"":""10 km al E de Chilca, Cañete - Lima"",""isIn"":""Continente"",""latitud"":""-12.53"",""longitud"":""-76.65"",""profundidad"":65,""intensidades"":""II-III Chilca"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""30/11/2023"",""HoraLocal"":""17:26:57""}]}",,"2023-11-30 22:29:31","2023-11-30 22:29:31",21,
105467,,0,"2023-12-01 10:13:26",,"11 km al S de Cabanaconde, Caylloma - Arequipa",Sismo,,,"{""numeroReporte"":685,""fechaHoraLocal"":""2023-12-01T10:13:26.000Z"",""magnitud"":""3.6"",""mensaje"":true,""mapaTematico"":false,""referencia"":""11 km al S de Cabanaconde, Caylloma - Arequipa"",""isIn"":""Continente"",""latitud"":""-15.72"",""longitud"":""-72.00"",""profundidad"":7,""intensidades"":""III Cabanaconde"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""05:13:26"",""reports"":[{""numeroReporte"":685,""fechaHoraLocal"":""2023-12-01T10:13:26.000Z"",""magnitud"":""3.6"",""mensaje"":true,""mapaTematico"":false,""referencia"":""11 km al S de Cabanaconde, Caylloma - Arequipa"",""isIn"":""Continente"",""latitud"":""-15.72"",""longitud"":""-72.00"",""profundidad"":7,""intensidades"":""III Cabanaconde"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""05:13:26""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-71.97,-15.88],[-72.02,-15.87],[-72.1,-15.84],[-72.13,-15.8],[-72.14,-15.76],[-72.14,-15.7],[-72.12,-15.65],[-72.07,-15.61],[-72.02,-15.59],[-71.98,-15.59],[-71.92,-15.61],[-71.88,-15.65],[-71.86,-15.72],[-71.86,-15.75],[-71.88,-15.8],[-71.93,-15.85],[-71.97,-15.88]]]},""geometry_name"":""the_geom"",""properties"":{""value"":1,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0685""}}}",,"2023-12-01 10:18:48","2023-12-01 15:13:18",21,
105468,,0,"2023-12-01 16:02:47",,"35 km al SE de Aplao, Castilla - Arequipa",Sismo,,,"{""numeroReporte"":686,""fechaHoraLocal"":""2023-12-01T16:02:47.000Z"",""magnitud"":""4.1"",""mensaje"":true,""mapaTematico"":false,""referencia"":""35 km al SE de Aplao, Castilla - Arequipa"",""isIn"":""Continente"",""latitud"":""-16.35"",""longitud"":""-72.35"",""profundidad"":130,""intensidades"":""III Aplao"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""11:02:47"",""reports"":[{""numeroReporte"":686,""fechaHoraLocal"":""2023-12-01T16:02:47.000Z"",""magnitud"":""4.1"",""mensaje"":true,""mapaTematico"":false,""referencia"":""35 km al SE de Aplao, Castilla - Arequipa"",""isIn"":""Continente"",""latitud"":""-16.35"",""longitud"":""-72.35"",""profundidad"":130,""intensidades"":""III Aplao"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""11:02:47""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-72.33,-16.44],[-72.36,-16.44],[-72.39,-16.42],[-72.44,-16.37],[-72.44,-16.35],[-72.4,-16.3],[-72.35,-16.26],[-72.34,-16.25],[-72.29,-16.27],[-72.27,-16.3],[-72.26,-16.32],[-72.26,-16.36],[-72.28,-16.41],[-72.3,-16.43],[-72.33,-16.44]]]},""geometry_name"":""the_geom"",""properties"":{""value"":1,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0686""}}}",,"2023-12-01 16:06:54","2023-12-01 16:50:19",21,
105470,,0,"2023-12-01 17:54:50",,"25 km al S de Arequipa, Arequipa - Arequipa",Sismo,,,"{""numeroReporte"":687,""fechaHoraLocal"":""2023-12-01T17:54:50.000Z"",""magnitud"":""3.5"",""mensaje"":true,""mapaTematico"":false,""referencia"":""25 km al S de Arequipa, Arequipa - Arequipa"",""isIn"":""Continente"",""latitud"":""-16.61"",""longitud"":""-71.56"",""profundidad"":18,""intensidades"":""III Arequipa"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""12:54:50"",""reports"":[{""numeroReporte"":687,""fechaHoraLocal"":""2023-12-01T17:54:50.000Z"",""magnitud"":""3.5"",""mensaje"":true,""mapaTematico"":false,""referencia"":""25 km al S de Arequipa, Arequipa - Arequipa"",""isIn"":""Continente"",""latitud"":""-16.61"",""longitud"":""-71.56"",""profundidad"":18,""intensidades"":""III Arequipa"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""12:54:50""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-71.55,-16.63],[-71.57,-16.62],[-71.59,-16.6],[-71.59,-16.59],[-71.58,-16.57],[-71.55,-16.56],[-71.53,-16.57],[-71.53,-16.59],[-71.53,-16.61],[-71.55,-16.63]]]},""geometry_name"":""the_geom"",""properties"":{""value"":2,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0687""}}}",,"2023-12-01 18:00:02","2023-12-01 21:12:18",21,
105473,,0,"2023-12-02 02:23:17",,"68 km al S de Esperanza, Purus - Ucayali",Sismo,,,"{""numeroReporte"":688,""fechaHoraLocal"":""2023-12-02T02:23:17.000Z"",""magnitud"":""4.9"",""mensaje"":true,""mapaTematico"":false,""referencia"":""68 km al S de Esperanza, Purus - Ucayali"",""isIn"":""Continente"",""latitud"":""-10.39"",""longitud"":""-70.66"",""profundidad"":170,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""21:23:17"",""reports"":[{""numeroReporte"":688,""fechaHoraLocal"":""2023-12-02T02:23:17.000Z"",""magnitud"":""4.9"",""mensaje"":true,""mapaTematico"":false,""referencia"":""68 km al S de Esperanza, Purus - Ucayali"",""isIn"":""Continente"",""latitud"":""-10.39"",""longitud"":""-70.66"",""profundidad"":170,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""01/12/2023"",""HoraLocal"":""21:23:17""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-70.75,-10.92],[-70.8,-10.9],[-70.77,-10.88],[-70.81,-10.86],[-70.8,-10.85],[-70.79,-10.86],[-70.78,-10.85],[-70.79,-10.84],[-70.8,-10.85],[-70.82,-10.84],[-70.83,-10.83],[-70.88,-10.83],[-70.89,-10.82],[-70.91,-10.82],[-70.94,-10.8],[-70.94,-10.79],[-70.97,-10.77],[-71,-10.73],[-71.01,-10.72],[-71.02,-10.71],[-71.05,-10.69],[-71.05,-10.68],[-71.03,-10.66],[-71.03,-10.66],[-71.05,-10.64],[-71.07,-10.65],[-71.08,-10.63],[-71.15,-10.58],[-71.16,-10.55],[-71.15,-10.51],[-71.14,-10.5],[-71.14,-10.41],[-71.15,-10.38],[-71.17,-10.37],[-71.17,-10.35],[-71.15,-10.34],[-71.15,-10.32],[-71.14,-10.31],[-71.13,-10.31],[-71.12,-10.32],[-71.12,-10.34],[-71.11,-10.34],[-71.1,-10.31],[-71.09,-10.29],[-71.11,-10.25],[-71.1,-10.25],[-71.1,-10.24],[-71.14,-10.23],[-71.15,-10.22],[-71.15,-10.21],[-71.15,-10.2],[-71.14,-10.18],[-71.13,-10.18],[-71.14,-10.17],[-71.13,-10.16],[-71.12,-10.16],[-71.09,-10.15],[-71.08,-10.15],[-71.07,-10.17],[-71.06,-10.16],[-71.05,-10.11],[-71.02,-10.08],[-70.98,-10.06],[-70.96,-10.01],[-70.95,-10.01],[-70.94,-10],[-70.93,-10],[-70.91,-10],[-70.9,-9.98],[-70.89,-9.98],[-70.87,-9.97],[-70.85,-9.96],[-70.84,-9.92],[-70.82,-9.91],[-70.8,-9.88],[-70.75,-9.88],[-70.73,-9.89],[-70.7,-9.89],[-70.68,-9.9],[-70.65,-9.89],[-70.6,-9.89],[-70.58,-9.87],[-70.55,-9.87],[-70.53,-9.85],[-70.51,-9.86],[-70.49,-9.89],[-70.49,-9.9],[-70.47,-9.9],[-70.42,-9.94],[-70.4,-9.94],[-70.4,-9.95],[-70.35,-9.99],[-70.34,-10.02],[-70.32,-10.04],[-70.26,-10.06],[-70.23,-10.08],[-70.21,-10.13],[-70.2,-10.21],[-70.19,-10.22],[-70.19,-10.2],[-70.18,-10.2],[-70.18,-10.21],[-70.16,-10.23],[-70.16,-10.25],[-70.14,-10.28],[-70.13,-10.35],[-70.11,-10.4],[-70.11,-10.41],[-70.13,-10.44],[-70.13,-10.47],[-70.14,-10.49],[-70.14,-10.52],[-70.15,-10.53],[-70.15,-10.55],[-70.18,-10.58],[-70.19,-10.61],[-70.21,-10.63],[-70.27,-10.65],[-70.3,-10.69],[-70.32,-10.69],[-70.32,-10.7],[-70.34,-10.71],[-70.34,-10.74],[-70.36,-10.79],[-70.4,-10.82],[-70.44,-10.84],[-70.46,-10.85],[-70.47,-10.85],[-70.51,-10.87],[-70.53,-10.86],[-70.54,-10.85],[-70.53,-10.84],[-70.54,-10.84],[-70.54,-10.84],[-70.54,-10.85],[-70.55,-10.86],[-70.56,-10.85],[-70.56,-10.84],[-70.6,-10.83],[-70.61,-10.83],[-70.65,-10.85],[-70.65,-10.87],[-70.69,-10.87],[-70.7,-10.88],[-70.73,-10.89],[-70.74,-10.9],[-70.75,-10.92]],[[-70.48,-9.89],[-70.48,-9.89]],[[-70.31,-10.75],[-70.31,-10.73]],[[-70.87,-10.84],[-70.88,-10.84],[-70.87,-10.84],[-70.86,-10.84],[-70.87,-10.84]]]},""geometry_name"":""the_geom"",""properties"":{""value"":2,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0688""}}}",,"2023-12-02 02:31:11","2023-12-02 02:34:18",21,
105474,,0,"2023-12-02 07:55:40",,"164 km al SE de Calana, Tacna - Tacna",Sismo,,,"{""numeroReporte"":689,""fechaHoraLocal"":""2023-12-02T07:55:40.000Z"",""magnitud"":""5.5"",""mensaje"":true,""mapaTematico"":false,""referencia"":""164 km al SE de Calana, Tacna - Tacna"",""isIn"":""Continente"",""latitud"":""-19.28"",""longitud"":""-69.45"",""profundidad"":119,""intensidades"":""III Calana"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""02/12/2023"",""HoraLocal"":""02:55:40"",""reports"":[{""numeroReporte"":689,""fechaHoraLocal"":""2023-12-02T07:55:40.000Z"",""magnitud"":""5.5"",""mensaje"":true,""mapaTematico"":false,""referencia"":""164 km al SE de Calana, Tacna - Tacna"",""isIn"":""Continente"",""latitud"":""-19.28"",""longitud"":""-69.45"",""profundidad"":119,""intensidades"":""III Calana"",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""02/12/2023"",""HoraLocal"":""02:55:40""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-69.69,-20],[-69.74,-20],[-69.79,-19.97],[-69.81,-19.9],[-69.86,-19.84],[-69.87,-19.82],[-69.93,-19.74],[-69.96,-19.67],[-69.98,-19.65],[-69.98,-19.63],[-70,-19.61],[-69.99,-19.55],[-70.01,-19.5],[-70.05,-19.46],[-70.09,-19.43],[-70.11,-19.4],[-70.09,-19.35],[-70.05,-19.3],[-70.05,-19.28],[-70.04,-19.26],[-70,-19.25],[-69.91,-19.25],[-69.88,-19.24],[-69.91,-19.21],[-69.89,-19.2],[-69.91,-19.18],[-69.94,-19.17],[-70.02,-19.17],[-70.05,-19.17],[-70.07,-19.15],[-70.08,-19.14],[-70.06,-19.12],[-69.99,-19.08],[-69.91,-19.05],[-69.87,-19.03],[-69.82,-19.04],[-69.79,-19.05],[-69.73,-19.02],[-69.69,-19],[-69.65,-18.99],[-69.63,-18.97],[-69.56,-18.96],[-69.55,-18.95],[-69.55,-18.93],[-69.56,-18.92],[-69.57,-18.92],[-69.65,-18.92],[-69.68,-18.94],[-69.71,-18.95],[-69.74,-18.94],[-69.76,-18.93],[-69.76,-18.91],[-69.75,-18.9],[-69.7,-18.84],[-69.61,-18.82],[-69.57,-18.79],[-69.54,-18.79],[-69.48,-18.81],[-69.47,-18.82],[-69.47,-18.84],[-69.46,-18.86],[-69.41,-18.88],[-69.39,-18.88],[-69.36,-18.87],[-69.36,-18.85],[-69.35,-18.85],[-69.32,-18.86],[-69.34,-18.88],[-69.33,-18.9],[-69.31,-18.9],[-69.29,-18.89],[-69.29,-18.88],[-69.3,-18.86],[-69.3,-18.86],[-69.27,-18.87],[-69.25,-18.86],[-69.24,-18.86],[-69.22,-18.87],[-69.21,-18.93],[-69.12,-19.01],[-69.08,-19.07],[-69.01,-19.12],[-69,-19.15],[-69.01,-19.18],[-68.99,-19.19],[-68.93,-19.2],[-68.91,-19.22],[-68.9,-19.25],[-68.92,-19.25],[-68.96,-19.25],[-69.02,-19.31],[-69.03,-19.34],[-69.03,-19.35],[-69.02,-19.37],[-69.01,-19.42],[-69.02,-19.44],[-69.08,-19.46],[-69.11,-19.46],[-69.12,-19.46],[-69.15,-19.49],[-69.16,-19.51],[-69.21,-19.55],[-69.21,-19.57],[-69.23,-19.59],[-69.23,-19.61],[-69.26,-19.66],[-69.25,-19.69],[-69.26,-19.71],[-69.28,-19.73],[-69.28,-19.76],[-69.3,-19.77],[-69.33,-19.8],[-69.38,-19.8],[-69.48,-19.85],[-69.6,-19.86],[-69.65,-19.87],[-69.67,-19.91],[-69.67,-19.97],[-69.68,-19.98],[-69.69,-20]],[[-69.33,-18.82],[-69.36,-18.81],[-69.37,-18.79],[-69.35,-18.78],[-69.33,-18.79],[-69.32,-18.8],[-69.33,-18.82]],[[-69.06,-18.95],[-69.09,-18.95],[-69.11,-18.95],[-69.11,-18.91],[-69.13,-18.86],[-69.13,-18.84],[-69.11,-18.82],[-69.09,-18.81],[-69.06,-18.8],[-69.01,-18.81],[-68.98,-18.84],[-68.98,-18.86],[-68.98,-18.87],[-68.99,-18.88],[-69.01,-18.9],[-69.03,-18.9],[-69.05,-18.92],[-69.06,-18.95]],[[-69.98,-19.01],[-69.99,-19.01],[-70.01,-19],[-70.01,-18.97],[-70,-18.96],[-69.98,-18.94],[-69.96,-18.94],[-69.93,-18.96],[-69.94,-18.99],[-69.98,-19.01]],[[-68.96,-19.15],[-68.97,-19.15],[-68.96,-19.12],[-68.96,-19.1],[-68.94,-19.06],[-68.95,-19.03],[-68.93,-19.01],[-68.91,-19.01],[-68.89,-19.02],[-68.87,-19.04],[-68.87,-19.08],[-68.91,-19.12],[-68.92,-19.12],[-68.93,-19.12],[-68.94,-19.12],[-68.96,-19.15]],[[-68.86,-19.37],[-68.87,-19.35],[-68.89,-19.32],[-68.88,-19.3],[-68.85,-19.3],[-68.83,-19.34],[-68.83,-19.35],[-68.86,-19.37]],[[-69.06,-19.61],[-69.06,-19.59],[-69.12,-19.57],[-69.08,-19.51],[-69.06,-19.5],[-69.04,-19.5],[-69.03,-19.5],[-69.02,-19.54],[-69.06,-19.61]],[[-69.04,-19.65],[-69.04,-19.63]]]},""geometry_name"":""the_geom"",""properties"":{""value"":10,""units"":""pctg"",""color"":""#bd8ee7"",""weight"":4,""evento"":""2023_0689""}}}",,"2023-12-02 08:01:16","2023-12-02 08:04:19",21,
105475,,0,"2023-12-02 08:09:07",,"59 km al SO de Andoas, Datem del Marañón - Loreto",Sismo,,,"{""numeroReporte"":690,""fechaHoraLocal"":""2023-12-02T08:09:07.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""59 km al SO de Andoas, Datem del Marañón - Loreto"",""isIn"":""Continente"",""latitud"":""-3.22"",""longitud"":""-76.83"",""profundidad"":114,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""02/12/2023"",""HoraLocal"":""03:09:07"",""reports"":[{""numeroReporte"":690,""fechaHoraLocal"":""2023-12-02T08:09:07.000Z"",""magnitud"":""4.0"",""mensaje"":true,""mapaTematico"":false,""referencia"":""59 km al SO de Andoas, Datem del Marañón - Loreto"",""isIn"":""Continente"",""latitud"":""-3.22"",""longitud"":""-76.83"",""profundidad"":114,""intensidades"":"""",""tipoReporte"":""P"",""handle"":""526f7a1b004a1142968d7a3776a857d2e1229ac3a147c29584e34cc1e87bae13"",""FechaLocal"":""02/12/2023"",""HoraLocal"":""03:09:07""}],""ground_acceleration"":{""type"":""Feature"",""id"":""pgashape.1"",""geometry"":{""type"":""MultiLineString"",""coordinates"":[[[-76.81,-3.44],[-76.87,-3.43],[-76.91,-3.41],[-76.99,-3.39],[-77.01,-3.36],[-77.03,-3.29],[-77.05,-3.26],[-77.06,-3.15],[-77.05,-3.11],[-77.01,-3.06],[-76.93,-3.02],[-76.89,-3.02],[-76.85,-3.04],[-76.82,-3.05],[-76.8,-3.06],[-76.77,-3.1],[-76.74,-3.12],[-76.7,-3.13],[-76.68,-3.15],[-76.65,-3.24],[-76.64,-3.29],[-76.64,-3.33],[-76.68,-3.39],[-76.73,-3.43],[-76.79,-3.44],[-76.81,-3.44]]]},""geometry_name"":""the_geom"",""properties"":{""value"":1,""units"":""pctg"",""color"":""#ffffff"",""weight"":4,""evento"":""2023_0690""}}}",,"2023-12-02 08:14:33","2023-12-02 13:06:18",21,
