"id","source","number","date","address","type","status","machines","lat","lng","state","createdAt","updatedAt","color"
1,,"2021018086","2021-07-09 18:28:57",AV. GENERAL CESAR CANEVARO  900  - LINCE,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,ATENDIENDO,"[""M4-1"",""M36-1"",""AMB-14"",""RES-4"",""RES-202""]",-12.0846462969277,-77.0428312512355,1,"2021-07-09 19:26:47","2021-07-09 19:26:47",#E65100
2,,"2021018081","2021-07-09 17:39:20",CL. JULIO BELLIDO  742  - SAN JUAN DE MIRAFLORES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M120-1"",""RES-105"",""RES-120"",""M106-1"",""M134-1""]",-12.1596798534047,-76.9685050292613,1,"2021-07-09 19:26:47","2021-07-09 19:26:47",#D32F2F
3,,"2021018077","2021-07-09 17:17:38",JR. 3 DE FEBRERO  800  - LA VICTORIA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M8-1"",""M4-1"",""M176-1"",""AMB-3"",""RES-4""]",-12.0690472,-77.0102047,1,"2021-07-09 19:26:47","2021-07-09 19:26:47",#D32F2F
4,,"2021018075","2021-07-09 16:33:01",ENTRADA A LAS VEGAS    - LURIGANCHO,MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / BALON DOMICILIARIO (10KG),ATENDIENDO,"[""M169-1"",""M138-1"",""M115-2"",""AMB-32-2"",""RESLIG-32"",""M32-1""]",-11.9680172033911,-76.7502356538743,1,"2021-07-09 19:26:47","2021-07-09 19:26:47",#757575
5,,"2021018047","2021-07-09 05:31:16",PJ. VILLA EL SALVADOR SECTOR 2 GRUPO 26 J    - VILLA EL SALVADOR,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M105-1"",""AMB-129"",""M106-1""]",-12.2096877749086,-76.9500384436039,1,"2021-07-09 19:26:47","2021-07-09 19:26:47",#D32F2F
6,,"2021018106","2021-07-09 22:26:17",AV. LA MARINA  2900  - SAN MIGUEL,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M60-5"",""M83-1"",""AMB100-1"",""RES-36"",""M60-1""]",-12.0766051092901,-77.0953888246137,1,"2021-07-09 22:29:27","2021-07-09 22:29:27",#D32F2F
7,,"2021018120","2021-07-10 01:27:23",JR. TALANA (JUAN ANSELMO ALVAREZ) CRUCE CON AV. LIMA (LA VICTORIA) BARRANCO    - BARRANCO,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M16-1"",""AMB-28"",""M13-1"",""RES-28""]",-12.1452348551645,-77.0167135672311,1,"2021-07-10 01:29:28","2021-07-10 01:29:28",#D32F2F
8,,"2021018122","2021-07-10 01:52:31",PJ. MANSILLA  300  - SANTIAGO DE SURCO,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M16-1"",""M134-1"",""RES-28""]",-12.148226184731,-77.0073003211266,1,"2021-07-10 02:29:28","2021-07-10 02:29:28",#D32F2F
9,,"2021018136","2021-07-10 03:21:48",AV. CESAR CANEVARO CRUCE CON AV. PEDRO SILVA SAN JUAN DE MIRAFLORES    - SAN JUAN DE MIRAFLORES,INCENDIO / TERRENO BALDIO,ATENDIENDO,"[""M120-1"",""RES-120"",""M134-1""]",-12.1671078247371,-76.9690915736094,1,"2021-07-10 04:29:27","2021-07-10 04:29:27",#D32F2F
10,,"2021018144","2021-07-10 06:10:53",CL. LOS ALAMOS  000  - PUENTE PIEDRA,INCENDIO / TERRENO BALDIO,ATENDIENDO,"[""M150-1"",""AMB-124"",""M124-1""]",-11.9075406066611,-77.074036552278,1,"2021-07-10 07:29:27","2021-07-10 07:29:27",#D32F2F
11,,"2021018154","2021-07-10 13:41:59",CARRETERA CENTRAL  KM  18    - CHACLACAYO,SERVICIO ESPECIAL / PREVENCION - CAPACITACION / PRACTICAS,ATENDIENDO,"[""M115-2"",""M115-1"",""AMB-115"",""AMB-115-2"",""RES-115""]",-11.9907841,-76.8217274,1,"2021-07-10 14:29:28","2021-07-10 14:29:28",#40C4FF
12,,"2021018189","2021-07-10 19:45:56",AV. CORONEL FRANCISCO BOLOGNESI CRUCE CON CA. CENTRAL SANTA ANITA    - SANTA ANITA,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,ATENDIENDO,"[""M138-1"",""AMB-96"",""AMB8-2"",""AMB-3"",""RES138""]",-12.0566039582899,-76.969098700929,1,"2021-07-10 20:29:27","2021-07-10 20:29:27",#E65100
13,,"2021018272","2021-07-11 17:43:52",ACANGARA HUANTA    - HUANTA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M220-3"",""AMB-220"",""RES-220""]",-12.8931107,-74.1944529,1,"2021-07-11 21:29:26","2021-07-11 21:29:26",#D32F2F
