id_evento,latitud_evento,longitud_evento,tipo_evento,descripcion,ultima_actualizacion,estado_evento
1,-5.64,-77.06,sismo,"Magnitud: 4.0, Referencia: 42 km al NE de Nueva Cajamarca, Rioja - San Martin",2023-11-30 02:54:28,null
2,-8.34,-80.18,sismo,"Magnitud: 4.0, Referencia: 126 km al SO de San Pedro De Lloc, Pacasmayo - La Libertad",2023-11-30 04:58:00,null
3,-8.61,-77.63,sismo,"Magnitud: 3.7, Referencia: 7 km al S de Sihuas, Sihuas - Ancash",2023-11-30 20:57:19,null
4,-12.53,-76.65,sismo,"Magnitud: 3.6, Referencia: 10 km al E de Chilca, Cañete - Lima",2023-11-30 22:29:31,null
5,-15.72,-72.0,sismo,"Magnitud: 3.6, Referencia: 11 km al S de Cabanaconde, Caylloma - Arequipa",2023-12-01 15:13:18,null
6,-16.35,-72.35,sismo,"Magnitud: 4.1, Referencia: 35 km al SE de Aplao, Castilla - Arequipa",2023-12-01 16:50:19,null
7,-16.61,-71.56,sismo,"Magnitud: 3.5, Referencia: 25 km al S de Arequipa, Arequipa - Arequipa",2023-12-01 21:12:18,null
8,-10.39,-70.66,sismo,"Magnitud: 4.9, Referencia: 68 km al S de Esperanza, Purus - Ucayali",2023-12-02 02:34:18,null
9,-19.28,-69.45,sismo,"Magnitud: 5.5, Referencia: 164 km al SE de Calana, Tacna - Tacna",2023-12-02 08:04:19,null
10,-3.22,-76.83,sismo,"Magnitud: 4.0, Referencia: 59 km al SO de Andoas, Datem del Marañón - Loreto",2023-12-02 13:06:18,null
11,-15.67,-71.71,sismo,"Magnitud: 3.5, Referencia: 7 km al SE de Maca, Caylloma - Arequipa",2023-12-02 22:59:18,null
12,-16.45,-72.43,sismo,"Magnitud: 4.5, Referencia: 29 km al N de Quilca, Camana - Arequipa",2023-12-04 11:27:18,null
13,-4.25,-81.04,sismo,"Magnitud: 4.0, Referencia: 16 km al S de Mancora, Talara - Piura",2023-12-04 18:06:18,null
14,-10.97,-78.26,sismo,"Magnitud: 3.9, Referencia: 60 km al SO de Barranca, Barranca - Lima",2023-12-05 01:21:18,null
15,-15.97,-72.98,sismo,"Magnitud: 4.0, Referencia: 38 km al O de Chuquibamba, Condesuyos - Arequipa",2023-12-05 14:12:18,null
16,-16.02,-74.59,sismo,"Magnitud: 3.7, Referencia: 41 km al S de Yauca, Caraveli - Arequipa",2023-12-05 17:52:49,null
17,-16.8,-71.62,sismo,"Magnitud: 3.7, Referencia: 17 km al O de La Capilla, General Sanchez Cerro - Moquegua",2023-12-05 19:14:19,null
18,-14.87,-76.61,sismo,"Magnitud: 4.3, Referencia: 131 km al SO de Ica, Ica - Ica",2023-12-06 07:16:18,null
19,-18.51,-69.92,sismo,"Magnitud: 4.1, Referencia: 66 km al SE de Calana, Tacna - Tacna",2023-12-06 16:18:18,null
20,-16.03,-74.33,sismo,"Magnitud: 4.1, Referencia: 22 km al SO de Chala, Caraveli - Arequipa",2023-12-07 02:21:20,null
21,-4.27,-77.48,sismo,"Magnitud: 4.3, Referencia: 55 km al NE de Sta. Maria De Nieva, Condorcanqui - Amazonas",2023-12-07 07:23:18,null
22,-12.66,-76.84,sismo,"Magnitud: 3.6, Referencia: 20 km al SO de Chilca, Cañete - Lima",2023-12-08 05:14:19,null
23,-10.31,-75.32,sismo,"Magnitud: 3.8, Referencia: 24 km al E de Huancabamba, Oxapampa - Pasco",2023-12-08 12:27:18,null
24,-11.03,-73.94,sismo,"Magnitud: 4.1, Referencia: 40 km al SO de Atalaya, Atalaya - Ucayali",2023-12-08 21:45:19,null
25,-3.57,-80.42,sismo,"Magnitud: 3.8, Referencia: 4 km al E de Tumbes, Tumbes - Tumbes",2023-12-09 04:37:18,null
26,-14.36,-76.58,sismo,"Magnitud: 4.6, Referencia: 83 km al SO de Pisco, Pisco - Ica",2023-12-10 03:47:18,null
27,-14.39,-76.63,sismo,"Magnitud: 4.5, Referencia: 89 km al SO de Pisco, Pisco - Ica",2023-12-10 08:48:18,null
28,-14.39,-76.51,sismo,"Magnitud: 5.3, Referencia: 83 km al SO de Pisco, Pisco - Ica",2023-12-10 11:43:47,null
29,-14.39,-76.67,sismo,"Magnitud: 5.8, Referencia: 91 km al SO de Pisco, Pisco - Ica",2023-12-10 11:55:38,null
30,-14.41,-76.57,sismo,"Magnitud: 4.0, Referencia: 87 km al SO de Pisco, Pisco - Ica",2023-12-10 12:47:19,null
31,-14.35,-76.52,sismo,"Magnitud: 4.1, Referencia: 79 km al SO de Pisco, Pisco - Ica",2023-12-10 15:46:00,null
32,-15.34,-72.02,sismo,"Magnitud: 4.4, Referencia: 31 km al N de Cabanaconde, Caylloma - Arequipa",2023-12-10 17:24:18,null
33,-14.34,-76.55,sismo,"Magnitud: 4.0, Referencia: 80 km al SO de Pisco, Pisco - Ica",2023-12-10 21:19:18,null
34,-16.13,-71.66,sismo,"Magnitud: 3.9, Referencia: 14 km al N de Yura, Arequipa - Arequipa",2023-12-11 20:22:19,null
35,-11.56,-76.64,sismo,"Magnitud: 4.1, Referencia: 12 km al S de Canta, Canta - Lima",2023-12-13 07:46:20,null
36,-8.33,-76.27,sismo,"Magnitud: 4.0, Referencia: 28 km al NE de Uchiza, Tocache - San Martin",2023-12-13 12:48:19,null
37,-7.1,-79.38,sismo,"Magnitud: 4.0, Referencia: 14 km al NE de Chepen, Chepen - La Libertad",2023-12-13 22:40:19,null
38,-16.8,-71.34,sismo,"Magnitud: 3.5, Referencia: 18 km al O de La Capilla, General Sanchez Cerro - Moquegua",2023-12-14 07:00:18,null
39,-16.73,-71.18,sismo,"Magnitud: 3.5, Referencia: 3 km al N de La Capilla, General Sanchez Cerro - Moquegua",2023-12-14 03:42:18,null
40,-15.21,-75.9,sismo,"Magnitud: 4.1, Referencia: 80 km al O de Marcona, Nazca - Ica",2023-12-14 12:33:18,null
41,-16.4,-74.03,sismo,"Magnitud: 4.4, Referencia: 49 km al SO de Atico, Caraveli - Arequipa",2023-12-14 09:52:18,null
42,-14.45,-76.49,sismo,"Magnitud: 4.1, Referencia: 88 km al S de Pisco, Pisco - Ica",2023-12-14 16:03:18,null
43,-16.82,-72.9,sismo,"Magnitud: 3.7, Referencia: 30 km al SO de Camana, Camana - Arequipa",2023-12-15 10:06:18,null
44,-16.38,-72.04,sismo,"Magnitud: 3.5, Referencia: 15 km al NO de Vitor, Arequipa - Arequipa",2023-12-15 15:08:18,null
45,-14.55,-76.61,sismo,"Magnitud: 4.0, Referencia: 103 km al SO de Pisco, Pisco - Ica",2023-12-15 17:57:24,null
46,-9.84,-75.64,sismo,"Magnitud: 3.8, Referencia: 27 km al SO de Codo Del Pozuzo, Puerto Inca - Huanuco",2023-12-16 07:47:18,null
47,-18.91,-72.5,sismo,"Magnitud: 4.1, Referencia: 187 km al SO de Ilo, Ilo - Moquegua",2023-12-16 14:36:19,null
48,-5.33,-80.8,sismo,"Magnitud: 4.0, Referencia: 24 km al SO de Piura, Piura - Piura",2023-12-16 12:49:19,null
49,-15.25,-75.61,sismo,"Magnitud: 4.3, Referencia: 49 km al O de Marcona, Nazca - Ica",2023-12-16 19:05:19,null
50,-13.02,-76.45,sismo,"Magnitud: 3.6, Referencia: 10 km al NO de San Vicente De Cañete, Cañete - Lima",2023-12-17 17:28:19,null
51,-15.02,-73.31,sismo,"Magnitud: 3.7, Referencia: 16 km al N de Colta, Paucar Del Sara Sara - Ayacucho",2023-12-18 04:11:18,null
52,-5.94,-80.23,sismo,"Magnitud: 3.8, Referencia: 37 km al O de Olmos, Lambayeque - Lambayeque",2023-12-18 14:40:18,null
53,-6.49,-80.83,sismo,"Magnitud: 4.0, Referencia: 105 km al S de Sechura, Sechura - Piura",2023-12-18 19:42:18,null
54,-17.17,-72.25,sismo,"Magnitud: 3.9, Referencia: 30 km al SO de Mollendo, Islay - Arequipa",2023-12-18 22:31:18,null
55,-15.81,-71.81,sismo,"Magnitud: 3.6, Referencia: 19 km al S de Maca, Caylloma - Arequipa",2023-12-19 03:33:18,null
56,-4.54,-76.94,sismo,"Magnitud: 4.2, Referencia: 43 km al NO de Barranca, Datem del Marañón - Loreto",2023-12-19 14:23:19,null
57,-4.89,-80.23,sismo,"Magnitud: 4.4, Referencia: 24 km al N de Chulucanas, Morropon - Piura",2023-12-19 19:26:18,null
